                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3981,                 1.5157,                 1.3116,                0.43735,                0.53148,                0.41718,                0.28267,                 1.0715,                 1.7729,                 1.2484,               0.003329,               0.003329,               0.003329
                      2,                 1.4007,                 1.2768,                 1.3213,                0.44096,                0.50407,                0.40223,                0.26605,                 1.1629,                 1.7211,                 1.3199,              0.0066558,              0.0066558,              0.0066558
                      3,                 1.4525,                 1.3059,                 1.3675,                0.39599,                0.43981,                0.32873,                0.19122,                 1.4208,                 1.9282,                 1.5573,              0.0099759,              0.0099759,              0.0099759
                      4,                 1.4729,                 1.3224,                 1.3957,                0.42816,                0.50173,                 0.3841,                0.25055,                 1.2169,                 1.7046,                 1.3893,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.452,                 1.2913,                 1.3859,                0.44489,                 0.5046,                0.40094,                0.26122,                 1.1956,                 1.6855,                 1.3663,              0.0099703,              0.0099703,              0.0099703
                      6,                  1.442,                 1.2754,                 1.3813,                0.44676,                0.50872,                0.40219,                0.26975,                 1.1661,                  1.645,                 1.3474,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.4344,                  1.265,                 1.3767,                0.45983,                0.51971,                0.41699,                0.27686,                 1.1576,                 1.6953,                 1.3347,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4285,                 1.2575,                 1.3754,                0.44997,                0.53985,                0.42835,                0.29047,                 1.1187,                 1.5906,                 1.3126,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.4264,                 1.2538,                 1.3739,                0.44907,                0.53955,                0.42683,                0.29207,                 1.0998,                 1.6049,                 1.2936,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.4258,                 1.2511,                 1.3724,                0.45059,                0.55417,                0.43589,                0.30053,                 1.0826,                 1.6276,                 1.2753,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.4242,                 1.2471,                 1.3729,                0.46501,                0.54505,                0.44641,                0.30829,                  1.086,                 1.5888,                 1.2819,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.4239,                 1.2445,                  1.371,                0.47429,                0.53647,                0.44438,                0.30762,                 1.0758,                 1.5875,                  1.279,               0.009901,               0.009901,               0.009901
                     13,                 1.4212,                 1.2438,                 1.3714,                0.47046,                0.54594,                0.44603,                 0.3101,                 1.0686,                 1.5764,                 1.2691,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.4209,                 1.2422,                 1.3701,                0.47321,                0.55379,                 0.4552,                0.31773,                 1.0649,                 1.5771,                 1.2683,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.4211,                 1.2409,                 1.3697,                0.47484,                0.55537,                0.45719,                0.31957,                 1.0559,                 1.5749,                 1.2619,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.4189,                 1.2378,                 1.3681,                0.46152,                0.56193,                0.45647,                0.32014,                 1.0519,                  1.586,                 1.2578,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.4201,                 1.2388,                 1.3687,                0.47062,                0.54972,                0.45715,                0.32047,                 1.0545,                 1.5825,                 1.2611,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.4187,                 1.2398,                 1.3689,                0.47991,                0.54911,                0.46102,                0.32311,                 1.0562,                 1.5633,                  1.262,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.4155,                 1.2342,                  1.367,                0.47478,                0.54984,                  0.457,                0.32057,                 1.0526,                 1.5713,                 1.2606,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.4179,                 1.2355,                 1.3683,                0.47615,                0.55183,                0.45832,                0.32177,                 1.0483,                 1.5667,                 1.2576,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.4159,                 1.2356,                 1.3681,                0.47877,                0.54912,                0.45729,                0.32085,                 1.0529,                 1.5714,                 1.2611,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.4149,                  1.232,                 1.3678,                0.48463,                0.54422,                0.45838,                0.32212,                 1.0527,                 1.5653,                 1.2611,               0.009802,               0.009802,               0.009802
                     23,                 1.4163,                 1.2347,                 1.3675,                0.48102,                0.54844,                0.45857,                0.32208,                 1.0517,                 1.5649,                 1.2603,              0.0097921,              0.0097921,              0.0097921
