                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3161,                 1.0697,                  1.283,                0.47271,                0.57433,                0.46823,                0.34677,                0.90536,                 1.5759,                  1.179,               0.070008,              0.0033324,              0.0033324
                      1,                 1.3906,                 1.1455,                 1.3348,                0.49427,                0.55349,                0.48017,                0.34434,                 0.9775,                 1.5353,                 1.2335,               0.040002,              0.0066591,              0.0066591
                      2,                 1.4881,                 1.2725,                 1.4148,                0.47151,                0.56727,                0.46064,                0.32542,                 1.0116,                 1.5819,                 1.2777,              0.0099887,              0.0099793,              0.0099793
                      3,                 1.4959,                 1.2834,                 1.4393,                0.47708,                0.56573,                0.47562,                0.34362,                 0.9664,                 1.5294,                 1.2455,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.4645,                 1.2446,                 1.4224,                0.48136,                0.57895,                0.48602,                0.35396,                0.94752,                 1.4979,                 1.2348,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4555,                 1.2295,                 1.4163,                0.48296,                 0.5868,                0.48859,                0.35659,                0.94175,                 1.4798,                 1.2312,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.4497,                 1.2244,                 1.4146,                0.48545,                0.58596,                0.49122,                0.35918,                0.93999,                 1.4667,                  1.232,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.4464,                   1.22,                  1.412,                 0.4827,                 0.5898,                0.49222,                0.36043,                0.93499,                 1.4523,                 1.2304,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.4458,                 1.2168,                 1.4119,                 0.4865,                0.58241,                0.49292,                0.36138,                 0.9322,                 1.4404,                   1.23,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.4447,                  1.215,                 1.4121,                0.48766,                0.58581,                0.49425,                0.36212,                0.93088,                 1.4292,                 1.2301,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.4437,                 1.2156,                   1.41,                0.49099,                0.58144,                 0.4944,                0.36288,                0.92794,                 1.4226,                 1.2283,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.4421,                 1.2131,                 1.4126,                0.49062,                0.57993,                0.49483,                0.36351,                0.92652,                 1.4199,                 1.2281,               0.009901,               0.009901,               0.009901
                     12,                 1.4407,                 1.2125,                 1.4133,                0.49047,                0.58053,                0.49505,                0.36349,                0.92607,                 1.4183,                 1.2288,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.4397,                 1.2119,                 1.4134,                0.49374,                0.57496,                0.49523,                0.36421,                0.92582,                 1.4195,                 1.2293,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.4394,                 1.2094,                 1.4107,                0.49362,                0.57553,                0.49346,                0.36285,                0.92476,                 1.4229,                 1.2288,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.4396,                 1.2123,                 1.4138,                0.48944,                0.58099,                0.49243,                0.36186,                0.92475,                 1.4253,                 1.2299,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.4403,                 1.2115,                 1.4136,                0.49006,                0.58005,                0.49131,                0.36109,                0.92549,                 1.4297,                 1.2298,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.4397,                 1.2107,                 1.4148,                0.48515,                0.58287,                0.49026,                0.36069,                0.92566,                 1.4365,                 1.2305,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.4374,                   1.21,                 1.4119,                0.49063,                 0.5734,                0.48985,                0.36033,                0.92606,                 1.4425,                 1.2299,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.4393,                 1.2104,                 1.4149,                0.49112,                0.57308,                0.48929,                 0.3597,                0.92586,                 1.4434,                  1.229,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.4381,                 1.2085,                 1.4146,                0.48989,                0.57793,                0.49016,                0.36062,                0.92731,                 1.4419,                 1.2304,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.4381,                 1.2082,                 1.4128,                0.49038,                0.57692,                0.49079,                0.36135,                0.92608,                 1.4451,                 1.2294,               0.009802,               0.009802,               0.009802
                     22,                  1.437,                 1.2102,                 1.4137,                0.48794,                0.58159,                0.49241,                0.36249,                0.92555,                 1.4435,                 1.2298,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.4353,                 1.2082,                  1.414,                0.48344,                0.58554,                0.49342,                0.36309,                0.92294,                 1.4431,                 1.2276,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.4363,                 1.2079,                 1.4132,                0.48748,                0.58129,                0.49298,                0.36286,                0.92311,                 1.4463,                 1.2279,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.4368,                 1.2075,                  1.413,                0.48458,                0.58616,                0.49386,                0.36311,                0.92405,                 1.4462,                  1.229,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.4355,                   1.21,                  1.414,                0.48917,                0.58311,                0.49372,                0.36345,                0.92232,                 1.4468,                 1.2273,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.4352,                 1.2073,                 1.4134,                0.48388,                0.58867,                0.49341,                0.36337,                0.92233,                 1.4495,                 1.2278,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.4341,                 1.2044,                 1.4127,                0.48779,                0.58279,                0.49281,                0.36314,                 0.9231,                 1.4532,                 1.2281,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.4363,                 1.2051,                 1.4132,                 0.4899,                0.58121,                0.49442,                0.36372,                0.92331,                   1.45,                  1.228,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.4347,                  1.205,                 1.4124,                0.48797,                0.58581,                 0.4945,                0.36427,                0.92182,                 1.4497,                 1.2268,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.4366,                 1.2057,                 1.4148,                0.49514,                 0.5789,                0.49504,                0.36444,                0.92163,                 1.4508,                 1.2278,               0.009703,               0.009703,               0.009703
                     32,                 1.4327,                  1.203,                 1.4124,                0.49153,                0.58362,                0.49423,                0.36398,                0.92258,                 1.4513,                 1.2283,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.4327,                 1.2026,                 1.4113,                0.49203,                0.57925,                0.49387,                0.36365,                0.92205,                 1.4547,                 1.2273,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.4321,                 1.2037,                 1.4109,                0.49006,                0.58227,                0.49368,                 0.3635,                0.92287,                  1.456,                 1.2271,              0.0096733,              0.0096733,              0.0096733
                     35,                  1.434,                 1.2043,                 1.4119,                0.48504,                0.58957,                0.49461,                0.36399,                0.92232,                 1.4514,                 1.2272,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.4342,                 1.2043,                 1.4097,                0.48723,                0.58605,                0.49401,                0.36382,                0.92326,                 1.4541,                 1.2274,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.4321,                 1.2046,                 1.4123,                0.48964,                0.58091,                0.49339,                0.36353,                0.92298,                 1.4568,                 1.2272,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4336,                 1.2042,                 1.4125,                 0.4933,                0.58091,                 0.4942,                 0.3646,                0.92331,                 1.4532,                 1.2282,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.4343,                 1.2053,                 1.4118,                0.49095,                0.57677,                0.49286,                0.36377,                0.92352,                 1.4568,                 1.2276,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4299,                 1.2034,                 1.4104,                0.49411,                0.57555,                0.49398,                0.36413,                0.92166,                 1.4544,                  1.226,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.4332,                 1.2024,                 1.4108,                0.49245,                0.58068,                0.49512,                0.36488,                0.92191,                 1.4511,                  1.227,               0.009604,               0.009604,               0.009604
                     42,                 1.4316,                 1.2012,                 1.4094,                0.49302,                0.58076,                0.49651,                0.36634,                0.92261,                 1.4474,                 1.2275,              0.0095941,              0.0095941,              0.0095941
                     43,                  1.432,                 1.2012,                 1.4108,                0.49147,                0.58073,                0.49713,                0.36657,                0.92178,                 1.4497,                  1.227,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4301,                 1.2013,                 1.4106,                0.48981,                0.58656,                0.49716,                0.36608,                0.92141,                 1.4485,                 1.2266,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.4302,                  1.199,                 1.4108,                0.49187,                 0.5791,                0.49664,                0.36601,                0.92058,                 1.4506,                  1.226,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4329,                 1.1992,                 1.4112,                0.49412,                0.57667,                0.49621,                0.36588,                0.92054,                 1.4507,                  1.226,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.4298,                 1.2003,                  1.411,                 0.4927,                0.58234,                0.49534,                0.36524,                 0.9205,                 1.4516,                 1.2262,              0.0095446,              0.0095446,              0.0095446
                     48,                   1.43,                 1.1997,                 1.4104,                0.49205,                0.58265,                 0.4958,                0.36596,                0.92049,                 1.4495,                 1.2264,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4303,                 1.2002,                 1.4111,                0.48923,                0.58294,                0.49643,                0.36634,                0.91994,                 1.4488,                 1.2267,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4303,                 1.1993,                 1.4098,                0.49247,                0.57858,                0.49594,                0.36627,                0.91895,                 1.4479,                 1.2259,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4299,                 1.1989,                 1.4088,                0.49097,                0.58234,                0.49455,                0.36475,                0.92041,                 1.4509,                 1.2263,               0.009505,               0.009505,               0.009505
                     52,                 1.4294,                 1.1998,                 1.4091,                0.49437,                 0.5779,                0.49446,                0.36455,                0.92194,                 1.4535,                 1.2265,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4291,                 1.1991,                 1.4099,                0.49318,                0.57729,                0.49465,                0.36494,                0.92263,                 1.4513,                 1.2278,              0.0094852,              0.0094852,              0.0094852
                     54,                   1.43,                 1.1984,                 1.4113,                0.49794,                 0.5721,                0.49465,                0.36472,                0.92271,                 1.4543,                 1.2284,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4303,                 1.1986,                 1.4122,                0.49524,                0.57616,                0.49357,                0.36422,                0.92366,                 1.4589,                 1.2293,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4278,                 1.1971,                 1.4092,                0.49039,                0.58038,                0.49239,                0.36338,                0.92387,                 1.4629,                   1.23,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4277,                 1.1975,                 1.4091,                0.49258,                0.57654,                0.49393,                0.36448,                0.92113,                 1.4595,                 1.2279,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4281,                 1.1973,                 1.4085,                0.49226,                0.57865,                0.49406,                0.36425,                0.92147,                 1.4581,                  1.228,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4289,                 1.1976,                 1.4073,                0.49481,                0.57534,                0.49544,                0.36597,                0.92059,                 1.4557,                 1.2267,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4299,                 1.1972,                 1.4095,                0.49743,                0.57526,                0.49644,                0.36665,                0.91995,                 1.4551,                 1.2257,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4287,                 1.1967,                 1.4086,                0.49159,                 0.5776,                0.49439,                0.36486,                0.92089,                 1.4592,                 1.2269,               0.009406,               0.009406,               0.009406
                     62,                 1.4272,                 1.1962,                 1.4082,                0.48904,                0.57893,                0.49427,                0.36469,                0.92079,                 1.4584,                 1.2268,              0.0093961,              0.0093961,              0.0093961
